CQ,API paths suggested by OATAPIs,queries
What are the details of the terrace that belongs to a local business?,/local-businesses/{local-business-id}/terraces,CONSTRUCT { ?terrace ?predicate ?object } WHERE { { SELECT DISTINCT ?terrace WHERE { ?local-business-id <http://vocab.ciudadesabiertas.es/def/comercio/tejido-comercial#tieneTerraza> ?terrace} } ?terrace ?predicate ?object }
List the local businesses of a city.,/local-businesses,CONSTRUCT { ?local-business ?predicate ?object } WHERE { { SELECT DISTINCT ?local-business WHERE { ?local-business a <http://vocab.ciudadesabiertas.es/def/comercio/tejido-comercial#LocalComercial> } } ?local-business ?predicate ?object }
What are the details of a local business?,/local-businesses/{local-business-id},CONSTRUCT { ?local-business-id ?predicate ?object } WHERE { { SELECT DISTINCT ?local-business-id WHERE { ?local-business-id a <http://vocab.ciudadesabiertas.es/def/comercio/tejido-comercial#LocalComercial> } } ?local-business-id ?predicate ?object }
List the terraces of a city.,/terraces,CONSTRUCT { ?terrace ?predicate ?object } WHERE { { SELECT DISTINCT ?terrace WHERE { ?terrace a <http://vocab.ciudadesabiertas.es/def/comercio/tejido-comercial#Terraza> } } ?terrace ?predicate ?object }
What is the information of a terrace?,/terraces/{terrace-id},CONSTRUCT { ?terrace-id ?predicate ?object } WHERE { { SELECT DISTINCT ?terrace-id WHERE { ?terrace-id a <http://vocab.ciudadesabiertas.es/def/comercio/tejido-comercial#Terraza> } } ?terrace-id ?predicate ?object }
What are the shopping areas of a city?,/shopping-areas,CONSTRUCT { ?shopping-area ?predicate ?object } WHERE { { SELECT DISTINCT ?shopping-area WHERE { ?shopping-area a <http://vocab.ciudadesabiertas.es/def/comercio/tejido-comercial#AgrupacionComercial> } } ?shopping-area ?predicate ?object }
What is the information of a shopping area?,/shopping-areas/{shopping-area-id},CONSTRUCT { ?shopping-area-id ?predicate ?object } WHERE { { SELECT DISTINCT ?shopping-area-id WHERE { ?shopping-area-id a <http://vocab.ciudadesabiertas.es/def/comercio/tejido-comercial#AgrupacionComercial> } } ?shopping-area-id ?predicate ?object }
