Identifier;CQ
ESCOM1;What are the details of the terrace that belongs to a local business?
ESCOM2;List the local businesses of a city.
ESCOM3;What are the details of a local business?
ESCOM4;Obtain the terraces of a city.
ESCOM5;What is the information of a terrace?
ESCOM6;What are the shopping areas of a city?
ESCOM7;What is the information of a shopping area?
